drksId,indication.type0,indication.key0,indication.value0,indication.type1,indication.key1,indication.value1,indication.type2,indication.key2,indication.value2,indication.type3,indication.key3,indication.value3,indication.type4,indication.key4,indication.value4
DRKS00000016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000024,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000027,Free text,[---]*,hepatic blood flow,Free text,[---]*,Hot compresses,ICD10,K70-K77,Diseases of liver,NA,NA,NA,NA,NA,NA
DRKS00000029,ICD10,J44,Other chronic obstructive pulmonary disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000031,ICD10,J44,Other chronic obstructive pulmonary disease,Free text,[---]*,non-invasive positive pressure ventilation NPPV,Free text,[---]*,COPD,NA,NA,NA,NA,NA,NA
DRKS00003749,Free text,[---]*,Multiple Myeloma,ICD10,C90.0,Multiple myeloma,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000014,Other,[---]*,E02.870.500: Kidney Transplantation,ICD10,Z94.0,Kidney transplant status,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003949,Free text,[---]*,Ovarian Cancer,ICD10,C56,Malignant neoplasm of ovary,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004338,Free text,[---]*,hematologic malagnancies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004583,ICD10,E66.9,"Obesity, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003668,Free text,[---]*,Advanced Non-small Cell Lung Cancer,Free text,[---]*,Transitional Cell Carcinoma,Free text,[---]*,Soft Tissue Sarcoma,Free text,[---]*,Gastric/Esophageal Adenocarcinoma,Free text,[---]*,Pancreatic Cancer Including Ampulla of Vater
DRKS00003835,Free text,[---]*,Cytomegalovirus,ICD10,B25,Cytomegaloviral disease,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003953,Free text,[---]*,Ovarian Cancer,ICD10,C56,Malignant neoplasm of ovary,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003641,Free text,[---]*,Breast Cancer,ICD10,C50,Malignant neoplasm of breast,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003644,Free text,[---]*,Breast Neoplasms,ICD10,C50,Malignant neoplasm of breast,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003742,Free text,[---]*,"Leukemia, Myeloid, Acute",ICD10,C92.0,Acute myeloid leukaemia,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003746,Free text,[---]*,Myelodysplastic Syndromes,ICD10,D46,Myelodysplastic syndromes,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003784,Free text,[---]*,Acute Lymphoid Leukemia,ICD10,C91.0,Acute lymphoblastic leukaemia,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003853,Free text,[---]*,Patients with benign uterine conditions which require laparoscopic assisted vaginal hysterectomy,ICD10,D25,Leiomyoma of uterus,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003884,Free text,[---]*,Renal Cell Carcinoma,ICD10,C65,Malignant neoplasm of renal pelvis,ICD10,C64,"Malignant neoplasm of kidney, except renal pelvis",NA,NA,NA,NA,NA,NA
DRKS00003800,Free text,[---]*,Thrombosis,ICD10,I80,Phlebitis and thrombophlebitis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003765,Free text,[---]*,Non-Small Cell Lung Cancer,ICD10,C34,Malignant neoplasm of bronchus and lung,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003764,Free text,[---]*,"Leukemia, Myeloid",ICD10,C92.1,"Chronic myeloid leukaemia [CML], BCR/ABL-positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003821,Free text,[---]*,Non Small Cell Lung Cancer (NSCLC),ICD10,C34,Malignant neoplasm of bronchus and lung,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003885,Free text,[---]*,Prostate Cancer,Free text,[---]*,Ovarian Cancer,ICD10,C61,Malignant neoplasm of prostate,ICD10,C56,Malignant neoplasm of ovary,NA,NA,NA
DRKS00003882,Free text,[---]*,Prostatic Neoplasms,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003891,Free text,[---]*,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003886,Free text,[---]*,Renal Cell Carcinoma,ICD10,C65,Malignant neoplasm of renal pelvis,ICD10,C64,"Malignant neoplasm of kidney, except renal pelvis",NA,NA,NA,NA,NA,NA
DRKS00003889,Free text,[---]*,Overactive Bladder,Free text,[---]*,Detrusor Overactivity,ICD10,N32.8,Other specified disorders of bladder,NA,NA,NA,NA,NA,NA
DRKS00003793,Free text,[---]*,Diffuse Large B-cell Lymphoma,ICD10,C83.3,Diffuse large B-cell lymphoma,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003881,Free text,[---]*,Prostatic Neoplasms,Free text,[---]*,Neoplasm Metastasis,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA
DRKS00003798,Free text,[---]*,"Lymphoblastic Leukemia, Acute",Free text,[---]*,"Lymphoma, Non-Hodgkin",ICD10,C91.0,Acute lymphoblastic leukaemia,NA,NA,NA,NA,NA,NA
DRKS00003856,Free text,[---]*,parenting problems in parents with children with diabetes type 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003788,Free text,[---]*,Brain and Central Nervous System Tumors,Free text,[---]*,Long-term Effects Secondary to Cancer Therapy in Children,Free text,[---]*,Perioperative/Postoperative Complications,Free text,[---]*,Psychosocial Effects of Cancer and Its Treatment,Free text,[---]*,Weight Changes
DRKS00003792,Free text,[---]*,Leukemia,ICD10,C91.0,Acute lymphoblastic leukaemia,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003787,Free text,[---]*,Wilms Tumor,Free text,[---]*,Neuroblastoma,Free text,[---]*,Soft Tissue Sarcoma,Free text,[---]*,Acute Lymphoblastic Leukemia,ICD10,C91.0,Acute lymphoblastic leukaemia
DRKS00003822,Free text,[---]*,NSCLC,Free text,[---]*,Non Small Cell Lung Cancer,ICD10,C34,Malignant neoplasm of bronchus and lung,NA,NA,NA,NA,NA,NA
DRKS00003785,Free text,[---]*,Infantile Hemangioma,ICD10,D18.0,"Haemangioma, any site",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003799,Free text,[---]*,Ewing's Sarcoma Family of Tumors,ICD10,C40,Malignant neoplasm of bone and articular cartilage of limbs,ICD10,C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,NA,NA,NA,NA,NA,NA
DRKS00003760,Free text,[---]*,Gastrointestinal Stromal Tumor (GIST),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00012863,ICD10,K05.6,"Periodontal disease, unspecified",ICD10,K05.5,Other periodontal diseases,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00008927,ICD10,F40.2,Specific (isolated) phobias,ICD10,F43.1,Post-traumatic stress disorder,ICD10,F43.2,Adjustment disorders,Free text,[---]*,driving phobia after traffic accident or another critical event in traffic,NA,NA,NA
DRKS00011633,ICD10,G47.31,[generalization G47.3: Sleep apnoea],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005683,ICD10,E10,Insulin-dependent diabetes mellitus,ICD10,E11,Non-insulin-dependent diabetes mellitus,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006825,Free text,[---]*,Perseverative thinking: Worry /rumination,ICD10,F41.1,Generalized anxiety disorder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007607,Free text,[---]*,oncologic diseases in geriatric patients,ICD10,C00-C97,Malignant neoplasms,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007693,ICD10,Z94.0,Kidney transplant status,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007844,Free text,[---]*,"Patients of doctor’s surgeries, pharmacies and hospitals, participating in the research project with unspecified diseases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00008829,ICD10,I87.2,Venous insufficiency (chronic)(peripheral),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009259,Free text,[---]*,lack of facial skin elasticity by healthy volunteers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009621,ICD10,J45,Asthma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010276,Free text,[---]*,mild to moderate elevated blood pressure,ICD10,I10,Essential (primary) hypertension,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011363,ICD10,Q21.3,Tetralogy of Fallot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00012885,ICD10,I46.9,"Cardiac arrest, unspecified",Free text,[---]*,resucitation mannequin,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00012941,ICD10,K02.9,"Dental caries, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011321,MedDRA,[---]*,10045751 (Unspecified disease of pancreas),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011500,Free text,[---]*,healthy subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009625,Free text,[---]*,individuals with an above-average level of stress who were at increased risk for developing a burnout syndrome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011302,ICD10,M51,Other intervertebral disc disorders,ICD10,M54,Dorsalgia,ICD10,M53,"Other dorsopathies, not elsewhere classified",NA,NA,NA,NA,NA,NA
DRKS00011371,Free text,[---]*,psychosomatic illness at the workplace,ICD10,F32,Depressive episode,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005517,Free text,[---]*,Allergic Rhinitis,ICD10,J30.4,"Allergic rhinitis, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005654,ICD10,K05.3,Chronic periodontitis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006087,ICD10,J44.9,"Chronic obstructive pulmonary disease, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006130,ICD10,I27.0,Primary pulmonary hypertension,ICD10,I27.20,[generalization I27.2: Other secondary pulmonary hypertension],NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006137,Other,[---]*,OPS 8-982 Complex Palliative Care Treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006217,ICD10,F05,"Delirium, not induced by alcohol and other psychoactive substances",ICD10,F43.1,Post-traumatic stress disorder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006361,Free text,[---]*,Renal Impairment,ICD10,N18,Chronic kidney disease,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006736,Free text,[---]*,"Overweight, Obesity degree I",ICD10,E66.9,"Obesity, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006824,ICD10,K21,Gastro-oesophageal reflux disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006882,ICD10,S61.1,Open wound of finger(s) with damage to nail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007644,ICD10,J44.9,"Chronic obstructive pulmonary disease, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007652,ICD10,M54,Dorsalgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007697,ICD10,I25.0,"Atherosclerotic cardiovascular disease, so described",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007860,ICD10,F10.1,Mental and behavioural disorders due to use of alcohol; Harmful use,ICD10,F17.1,Mental and behavioural disorders due to use of tobacco; Harmful use,ICD10,F17.2,Mental and behavioural disorders due to use of tobacco; Dependence syndrome,Free text,[---]*,"hazardous alcohol consumption (women  >12 g/d, men > 24g/d)",NA,NA,NA
DRKS00007894,ICD10,M16,Coxarthrosis [arthrosis of hip],ICD10,M17,Gonarthrosis [arthrosis of knee],NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00008870,Free text,[---]*,bone healing after gigh tibial osteotomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00008953,ICD10,G40.1,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009005,Free text,[---]*,Premenstrual Syndrome,ICD10,N94.3,Premenstrual tension syndrome,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009368,ICD10,B37.0,Candidal stomatitis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009371,Free text,[---]*,fixed-dental-prothesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009392,ICD10,M17,Gonarthrosis [arthrosis of knee],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009396,Free text,[---]*,RHONCHOPATHIE,ICD10,R06.5,Mouth breathing,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009565,Free text,[---]*,Pain after outpatient arthroscopic shoulder surgery,Free text,[---]*,regional anesthesia for postoperative analgesia,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009679,ICD10,O21.0,Mild hyperemesis gravidarum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010135,ICD10,A41.0,Sepsis due to Staphylococcus aureus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010698,ICD10,K72.0,Acute and subacute hepatic failure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010841,Free text,[---]*,Overtraining Syndrom healthy population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011004,ICD10,J44.1,"Chronische obstruktive Lungenkrankheit mit akuter Exazerbation, nicht näher bezeichnet",ICD10,J80,Atemnotsyndrom des Erwachsenen [ARDS],NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011013,ICD10,F32,Depressive episode,ICD10,F33,Recurrent depressive disorder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011112,ICD10,F32.1,Mittelgradige depressive Episode,ICD10,F32.2,Schwere depressive Episode ohne psychotische Symptome,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011212,Free text,[---]*,oxidative Stress; healthy volunteers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011542,Free text,[---]*,Airwaymanagement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00012769,Free text,[---]*,Depression,ICD10,F32,Depressive episode,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00012946,Free text,[---]*,muscle-atrophy; Boneloss,Free text,[---]*,Deconditioning of the cardiovascular system; degradation of balancing system; degradation of cognitive performance,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00013008,Free text,[---]*,Endotracheal intubation of newborns,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010009,ICD10,M16.1,Other primary coxarthrosis,ICD10,M17.1,Other primary gonarthrosis,ICD10,M16.5,Other post-traumatic coxarthrosis,ICD10,M17.3,Other post-traumatic gonarthrosis,Free text,[---]*,Patients after total knee or hip arthroplasty
DRKS00007689,ICD10,F50.9,"Eating disorder, unspecified",Other,[---]*,DSM-5: Binge Eating Disorder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009258,ICD10,M99.01,[generalization M99.0: Segmental and somatic dysfunction],ICD10,M54.2,Cervicalgia,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010457,Free text,[---]*,ventilation during thoracic surgery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006069,Free text,[---]*,Symptoms after experience of maltreatment and neglect in foster children,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011109,ICD10,K02.0,Caries limited to enamel,ICD10,K05.0,Acute gingivitis,ICD10,K05.1,Chronic gingivitis,NA,NA,NA,NA,NA,NA
DRKS00008022,Free text,[---]*,Cancer-related fatigue of patients (ICD10: C50; C81-C96; C51-C58),ICD10,G93.3,Postviral fatigue syndrome,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011551,ICD10,D38.1,"Neoplasm of uncertain or unknown behaviour: Trachea, bronchus and lung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005709,ICD10,F50.0,Anorexia nervosa,ICD10,F50.2,Bulimia nervosa,ICD10,F33,Recurrent depressive disorder,ICD10,F32,Depressive episode,ICD10,F40,Phobic anxiety disorders
DRKS00009337,ICD10,F84,Pervasive developmental disorders,Free text,[---]*,"autism/Asperger-Syndrom/pervasive developmental disorder, not otherwise specified (PDD-NOS)/autism spectrum disorder",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010480,Free text,[---]*,HEALTHY SUBJECTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006828,ICD10,I70.2,Atherosclerosis of arteries of extremities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007263,Free text,[---]*,Metastatic Breast Cancer,ICD10,C50,Malignant neoplasm of breast,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005961,Free text,[---]*,Chronic Hepatitis B,ICD10,B18.1,Chronic viral hepatitis B without delta-agent,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010124,MedDRA,[---]*,10020328: Hodgkin's lymphoma,MedDRA,[---]*,10011677: Cutaneous T-cell lymphoma,MedDRA,[---]*,10065864: anaplastic large -cell lymphoma,NA,NA,NA,NA,NA,NA
DRKS00001052,Free text,[---]*,Brain and Central Nervous System Tumors,ICD10,C71,Malignant neoplasm of brain,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004397,ICD10,F17.2,Mental and behavioural disorders due to use of tobacco; Dependence syndrome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004569,Free text,[---]*,Acute Otitis Media (AOM)<br/>H65.0 und H66.0,Free text,[---]*,Upper respiratory tract infection,ICD10,H65.0,Acute serous otitis media,ICD10,H66.0,Acute suppurative otitis media,NA,NA,NA
DRKS00004713,Free text,[---]*,educational research,ICD10,T07,Unspecified multiple injuries,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005582,ICD10,I97,"Postprocedural disorders of circulatory system, not elsewhere classified",Free text,[---]*,Diseases that make a determination of cardiac output and stroke volume variation necessary,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005679,Free text,[---]*,procrastination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005682,Free text,[---]*,glucose homeostasis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005685,ICD10,K35.8,"Acute appendicitis, other and unspecified",ICD10,K80.20,[generalization K80.2: Calculus of gallbladder without cholecystitis],NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005811,Free text,[---]*,Food intake behavior<br/>Appetite<br/>Hunger<br/>healthy subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005973,Free text,[---]*,subclinical depression,ICD10,F32.0,Mild depressive episode,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006015,ICD10,C50.9,"Malignant neoplasm: Breast, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006093,ICD10,I46,Cardiac arrest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006170,Free text,[---]*,orphan lung diseases,ICD10,D86.0,Sarcoidosis of lung,ICD10,J84.1,Other interstitial pulmonary diseases with fibrosis,ICD10,J98.4,Other disorders of lung,ICD10,J45.9,"Asthma, unspecified"
DRKS00006206,ICD10,Z73,Problems related to life-management difficulty,Free text,[---]*,Coping competencies; behavioural and emotional problems and quality of life,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006254,ICD10,F00,Dementia in Alzheimer disease,ICD10,F01,Vascular dementia,ICD10,F02,Dementia in other diseases classified elsewhere,ICD10,F03,Unspecified dementia,ICD10,G30,Alzheimer disease
DRKS00006273,Free text,[---]*,postoperative pneumocephalus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006280,Free text,[---]*,non-specific low back pain postpartum,ICD10,M54.5,Low back pain,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00006818,ICD10,C26.0,"Malignant neoplasm: Intestinal tract, part unspecified",Free text,[---]*,"Colorectal carcinoma (CRC) prevention, the preventive behavior in first-degree relatives ",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007163,ICD10,C78.0,Secondary malignant neoplasm of lung,ICD10,C34,Malignant neoplasm of bronchus and lung,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007234,Free text,[---]*,Having Lunch,Free text,[---]*,Omitting Lunch,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007311,Free text,[---]*,Drug-Drug Interaction (DDI),Free text,[---]*,Intestinal Absorption,Free text,[---]*,Healthy Subjects,Free text,[---]*,Pharmacokinetics of Rosuvastatin,Free text,[---]*,Pharmacokinetics of Fidaxomicin
DRKS00007532,ICD10,F10.2,Mental and behavioural disorders due to use of alcohol; Dependence syndrome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007580,ICD10,I25.9,"Chronic ischaemic heart disease, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007581,Free text,[---]*,Alzheimer's disease,ICD10,G30.9,"Alzheimer disease, unspecified",ICD10,F00.9,"Dementia in Alzheimer disease, unspecified",NA,NA,NA,NA,NA,NA
DRKS00007634,ICD10,N17-N19,Renal failure,ICD10,Z94.0,Kidney transplant status,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007648,Free text,[---]*,"TBI, SAH, ICH, brain tumor, stroke",ICD10,S06,Intracranial injury,ICD10,I63,Cerebral infarction,ICD10,C71,Malignant neoplasm of brain,ICD10,I61,Intracerebral haemorrhage
DRKS00007730,ICD10,C79.5,Secondary malignant neoplasm of bone and bone marrow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007740,ICD10,J45,Asthma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007772,ICD10,G47.31,[generalization G47.3: Sleep apnoea],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007782,ICD10,F32,Depressive episode,ICD10,K70-K77,Diseases of liver,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007800,Free text,[---]*,Patients after open or laparoscopic elective bowel resection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007880,Free text,[---]*,microvascular complications in patients with diabetes type 1 and 2,ICD10,E14.3,Unspecified diabetes mellitus; With ophthalmic complications,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007901,Free text,[---]*,"mobility,<br/>mobility impairment,<br/>transfer participation",Free text,[---]*,"mobility promotion, mobility development",ICD10,U50.0,[---]*,ICD10,U50.1,[---]*,ICD10,U50.2,[---]*
DRKS00007976,Free text,[---]*,heart rate variability,Free text,[---]*,healthy volunteers,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00007977,ICD10,J96.1,Chronic respiratory failure,ICD10,J44,Other chronic obstructive pulmonary disease,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00008555,Free text,[---]*,perioperative artificial ventilation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00008766,Free text,[---]*,healthy subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00008863,Free text,[---]*,Hip / pelvic fracture,ICD10,S72.0,Fracture of neck of femur,ICD10,S72.1,Pertrochanteric fracture,ICD10,S72.2,Subtrochanteric fracture,ICD10,S32.1,Fracture of sacrum
DRKS00008900,ICD10,C83.3,Diffuse large B-cell lymphoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00008905,Free text,[---]*,K51.0,ICD10,K51,Ulcerative colitis,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009241,ICD10,E66,Obesity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009304,Free text,[---]*,intensive care patients,Free text,[---]*,healthy people,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009347,ICD10,G47.31,[generalization G47.3: Sleep apnoea],ICD10,G25.81,[generalization G25.8: Other specified extrapyramidal and movement disorders],NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009387,ICD10,K05.3,Chronic periodontitis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009391,ICD10,B37.0,Candidal stomatitis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009424,ICD10,F10,Mental and behavioural disorders due to use of alcohol,Free text,[---]*,"General alcohol use, use of psychotropic substances (tobacco, cannabis/marijuana, and other drugs)",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009605,Free text,[---]*,Healthy participants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009798,Free text,[---]*,Healthy Volunteer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009886,ICD10,D38.3,Neoplasm of uncertain or unknown behaviour: Mediastinum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00009944,Free text,[---]*,Migraine,ICD10,R51,Headache,ICD10,G43,Migraine,NA,NA,NA,NA,NA,NA
DRKS00009996,ICD10,N18.5,"Chronic kidney disease, stage 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010096,Free text,[---]*,Healthy elderly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010128,ICD10,C00-C97,Malignant neoplasms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010175,Free text,[---]*,Influence of smartphone and digital media use in adolescents,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010496,ICD10,F50.8,Other eating disorders,Other,[---]*,DSM-5: 307.51 binge-eating disorder and binge-eating disorder with low duration and/or frequency ,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010606,Free text,[---]*,"multi-morbidity, geriatric syndromes, geriatric resources",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00010810,Free text,[---]*,breast cancer,ICD10,C50,Malignant neoplasm of breast,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00011044,Free text,[---]*,Benign prostatic hyperplasia (BPH),ICD10,N40,Hyperplasia of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
